204,17,18,83
205,17,12,247
206,17,11,239
207,17,10,189
208,17,9,150
209,17,8,116
210,17,7,76
211,17,6,38
212,17,5,17
213,17,4,46
214,17,3,83
215,17,2,121
216,17,1,159
217,18,17,83
218,18,19,67
219,18,12,330
220,18,11,322
221,18,10,272
222,18,9,233
223,18,8,198
224,18,7,158
225,18,6,119
226,18,5,79
227,18,4,43
228,18,3,17
229,18,2,40
230,18,1,77
231,19,18,67
232,19,20,37
233,19,12,397
234,19,11,389
235,19,10,339
236,19,9,300
237,19,8,265
238,19,7,225
239,19,6,185
240,19,5,145
241,19,4,108
242,19,3,70
243,19,2,34
244,19,1,19
245,20,19,37
246,20,12,434
247,20,11,426
248,20,10,376
249,20,9,337
250,20,8,302
251,20,7,262
252,20,6,222
253,20,5,182
254,20,4,145
255,20,3,106
256,20,2,69
257,20,1,32
258,12,21,108
259,21,12,108
260,21,22,62
261,22,21,62
262,22,33,64
263,22,23,76
264,23,22,76
265,23,24,104
266,33,22,64
267,33,46,99
268,33,34,102
269,24,23,104
270,24,25,91
271,24,26,130
272,24,27,166
273,24,28,269
274,24,29,372
275,24,30,321
276,24,31,167
277,24,32,18
278,25,24,91
279,25,26,39
280,25,30,230
281,25,31,77
282,25,32,79
283,26,25,39
284,26,27,36
285,26,24,130
286,26,30,191
287,26,31,41
288,26,32,118
289,27,26,36
290,27,28,103
291,27,24,166
292,27,30,155
293,27,31,26
294,27,32,155
295,28,27,103
296,28,29,103
297,28,24,269
298,28,31,105
299,28,32,257
300,29,28,103
301,29,24,372
302,29,30,54
303,29,31,207
304,29,32,360
305,30,31,154
306,30,24,321
307,30,25,230
308,30,26,191
309,30,27,155
310,30,28,54
311,30,29,54
312,31,30,154
313,31,24,167
314,31,25,77
315,31,26,41
316,31,27,26
317,31,28,105
318,31,29,207
319,32,31,154
320,32,24,18
321,32,25,79
322,32,27,155
323,32,28,257
324,32,29,360
325,34,33,102
326,34,43,33
327,34,45,32
328,34,44,31
329,45,34,32
330,45,44,19
331,45,43,48
332,44,45,19
333,44,34,31
334,44,43,31
335,43,34,33
336,43,45,48
337,43,44,31
338,43,35,21
339,43,42,190
340,43,36,232
341,35,43,21
342,35,42,186
343,35,36,228
344,42,43,190
345,42,35,186
346,42,36,42
347,36,43,232
348,36,35,228
349,36,42,42
350,36,37,38
351,36,38,67
352,36,39,38
353,36,40,28
354,36,41,46
355,37,38,29
356,37,39,18
357,37,36,38
358,38,37,29
359,38,39,34
360,38,36,67
361,39,37,18
362,39,38,34
363,39,36,38
364,40,36,28
365,40,41,39
366,41,40,39
367,41,36,46
368,33,34,102
369,33,46,99
370,46,33,99
371,46,47,31
372,46,71,40
373,46,48,207
374,47,46,31
375,47,71,49
376,71,46,40
377,71,47,49
378,71,48,182
379,48,46,207
380,48,71,182
381,48,49,34
382,48,50,38
383,48,51,34
384,48,52,69
385,49,50,5
386,49,51,15
387,49,48,34
388,50,49,5
389,50,48,38
390,50,51,12
391,51,50,12
392,51,49,15
393,51,48,34
394,52,48,69
395,52,70,70
396,52,69,76
397,52,68,69
398,52,53,131
399,68,69,8
400,68,52,69
401,68,70,18
402,69,68,8
403,69,52,76
404,69,70,14
405,70,52,70
406,70,68,18
407,70,69,14
408,53,52,131
409,53,57,86
410,53,54,40
411,53,55,43
412,53,56,40
413,53,65,69
414,53,66,73
415,53,67,67
416,54,53,40
417,54,55,5
418,54,56,18
419,55,54,5
420,55,53,43
421,55,56,14
422,56,55,14
423,56,54,18
424,56,53,40
425,65,66,5
426,65,67,20
427,65,53,69
428,66,65,5
429,66,67,19
430,66,53,73
431,67,65,20
432,67,66,19
433,67,53,67
434,57,64,71
435,57,58,39
436,57,53,86
437,58,57,39
438,58,59,38
439,59,60,109
440,59,58,38
441,64,63,35
442,64,57,71
443,63,64,35
444,63,62,116
445,62,61,57
446,62,63,116
447,61,62,57
448,61,60,53
449,60,61,53
450,60,59,109
451,72,73,38
452,72,90,33
453,72,89,18
454,72,88,32
455,72,87,44
456,72,86,95
457,72,85,146
458,72,84,186
459,72,83,240
460,72,82,280
461,72,81,320
462,72,80,362
463,73,90,70
464,73,72,38
465,73,74,42
466,73,89,49
467,73,88,18
468,73,87,16
469,73,86,58
470,73,85,109
471,73,84,148
472,73,83,202
473,73,82,242
474,73,81,282
475,73,80,324
476,74,75,53
477,74,73,42
478,74,90,112
479,74,89,90
480,74,88,54
481,74,87,41
482,74,86,21
483,74,85,67
484,74,84,107
485,74,83,160
486,74,82,200
487,74,81,240
488,74,80,282
489,75,76,52
490,75,74,53
491,75,90,165
492,75,89,142
493,75,88,106
494,75,87,92
495,75,86,42
496,75,85,20
497,75,84,55
498,75,85,20
499,75,84,55
500,75,83,108
501,75,82,147
502,75,81,187
503,75,80,229
504,76,77,59
505,76,75,52
506,76,90,217
507,76,89,194
508,76,88,157
509,76,87,143
510,76,86,92
511,76,85,42
512,76,84,16
